n_gt,pooled_micro_iou50_pct,pooled_micro_iou75_pct,sequence_macro_iou50_pct,fold_mean_iou50_pct,mean_iou,median_iou,centre_error_mean,centre_error_median,centre_error_p90,sensor,config
1203.0,0.3325020781379884,0.0831255195344971,0.3325020781379884,0.3325020781379884,0.19244634501421093,0.1686182669789227,8.647542550586707,6.377299058775163,12.497476463839808,EVK4,C5_SOFT_BACKGROUND_CENTROID__S3
10184.0,31.765514532600157,8.64100549882168,28.33456283092944,24.378373901948382,0.41886437794312004,0.4013248885207314,6.11795947921147,2.3581222088249927,5.638616924924486,DAVIS,C5_SOFT_BACKGROUND_CENTROID__S4
3905.0,33.930857874519845,2.8681177976952625,22.785700383113713,22.37924229262866,0.337774584387399,0.40694537802646846,88.87368092200165,3.6158632720499417,364.11317938205406,DVX,C5_SOFT_BACKGROUND_CENTROID__S4
1203.0,11.221945137157107,0.24937655860349128,11.221945137157107,11.221945137157107,0.31899183450409035,0.29447504480030856,8.647542550586707,6.377299058775163,12.497476463839808,EVK4,C5_SOFT_BACKGROUND_CENTROID__S4
10184.0,40.75019638648861,11.282403770620581,37.04977226073046,35.15042685322881,0.45400081914217877,0.44497292163450963,6.010667493515253,2.275307588303243,5.389195374631854,DAVIS,C6_RIDGE_RESIDUAL__S2
3905.0,39.94878361075544,3.2522407170294496,35.01052005326062,38.830323534342185,0.35687858382723386,0.44185922247343545,88.77940888007234,3.165689414720918,364.9618444473228,DVX,C6_RIDGE_RESIDUAL__S2
1203.0,29.260182876142977,2.57689110556941,29.260182876142977,29.260182876142977,0.42222471857820304,0.4079755931180798,11.933919903495806,8.272730942671355,21.494079986148478,EVK4,C6_RIDGE_RESIDUAL__S2
10184.0,11.64571877454831,0.6677140612725845,12.0933569929691,14.340421786569113,0.3023834522479875,0.29605263157894735,6.010667493515253,2.275307588303243,5.389195374631854,DAVIS,C6_RIDGE_RESIDUAL__S3
3905.0,7.861715749039693,0.3585147247119078,7.312409726974015,7.714968225666347,0.2140275730187862,0.21212121212121213,88.77940888007234,3.165689414720918,364.9618444473228,DVX,C6_RIDGE_RESIDUAL__S3
1203.0,0.24937655860349128,0.0,0.24937655860349126,0.24937655860349126,0.1785517277492379,0.15724762726488353,11.933919903495806,8.272730942671355,21.494079986148478,EVK4,C6_RIDGE_RESIDUAL__S3
10184.0,33.100942655145325,8.719560094265514,31.237652301638892,27.136050231311867,0.4290826228944419,0.41536953390991604,6.010667493515253,2.275307588303243,5.389195374631854,DAVIS,C6_RIDGE_RESIDUAL__S4
3905.0,37.259923175416134,3.4058898847631243,23.018976678335264,23.860688215303494,0.34975822274142354,0.4279057646500035,88.77940888007234,3.165689414720918,364.9618444473228,DVX,C6_RIDGE_RESIDUAL__S4
1203.0,9.975062344139651,0.0831255195344971,9.975062344139651,9.975062344139651,0.3031934393174061,0.27635689623764514,11.933919903495806,8.272730942671355,21.494079986148478,EVK4,C6_RIDGE_RESIDUAL__S4
10184.0,42.29183032207384,13.963079340141398,37.3142758769277,35.65892279962817,0.4639170773596369,0.4475957387304657,5.856253652340743,2.0446203166655827,5.226931472153517,DAVIS,C7_EXTRATREES_RESIDUAL__S2
3905.0,40.69142125480154,4.12291933418694,39.91844893523084,41.69037931087033,0.3595317082737238,0.4412794991640551,88.82925531739727,3.174670529822645,365.5596436132947,DVX,C7_EXTRATREES_RESIDUAL__S2
1203.0,32.418952618453865,2.826267664172901,32.418952618453865,32.418952618453865,0.4450905039114737,0.43238848551226955,9.023668598450287,6.662391859040998,13.373223222150886,EVK4,C7_EXTRATREES_RESIDUAL__S2
10184.0,12.686567164179104,0.8641005498821681,12.440395031123568,12.938644010436315,0.3069752223925188,0.2974678417404941,5.856253652340743,2.0446203166655827,5.226931472153517,DAVIS,C7_EXTRATREES_RESIDUAL__S3
3905.0,7.298335467349552,0.23047375160051217,7.140158389093439,7.599300507474969,0.2136952353913432,0.2172272209314176,88.82925531739727,3.174670529822645,365.5596436132947,DVX,C7_EXTRATREES_RESIDUAL__S3
1203.0,0.49875311720698257,0.0,0.4987531172069825,0.4987531172069825,0.19219011973709405,0.16911130284728215,9.023668598450287,6.662391859040998,13.373223222150886,EVK4,C7_EXTRATREES_RESIDUAL__S3
10184.0,34.32835820895522,10.447761194029852,30.8024719898157,27.020622696287585,0.4359920063234193,0.4176546016985282,5.856253652340743,2.0446203166655827,5.226931472153517,DAVIS,C7_EXTRATREES_RESIDUAL__S4
3905.0,37.541613316261206,3.559539052496799,25.334504297159654,25.832274188878223,0.3500214249166811,0.4287599446052709,88.82925531739727,3.174670529822645,365.5596436132947,DVX,C7_EXTRATREES_RESIDUAL__S4
1203.0,10.723192019950124,0.0831255195344971,10.723192019950124,10.723192019950124,0.31749216900048005,0.29354446807459017,9.023668598450287,6.662391859040998,13.373223222150886,EVK4,C7_EXTRATREES_RESIDUAL__S4
